,1,2,1.1,1000,0,10
367,21,270.0,1.0,1000,,
368,21,271.0,1.0,1000,,
369,21,272.0,1.0,1000,,
370,21,273.0,1.0,1000,,
371,21,274.0,1.0,1000,,
372,21,275.0,1.0,1000,,
373,21,276.0,1.0,1000,,
374,21,277.0,1.0,1000,,
375,21,278.0,1.0,1000,,
376,21,279.0,1.0,1000,,
377,21,170.0,1.0,1000,,
378,21,45.0,1.0,1000,,
379,21,214.0,1.0,1000,,
380,23,3.0,1.0,1000,,
381,23,285.0,1.0,1000,,
382,23,286.0,1.0,1000,,
383,23,287.0,1.0,1000,,
384,23,288.0,1.0,1000,,
385,23,289.0,1.0,1000,,
386,23,290.0,1.0,1000,,
387,23,291.0,1.0,1000,,
388,23,292.0,1.0,1000,,
389,23,293.0,1.0,1000,,
390,23,294.0,1.0,1000,,
391,23,295.0,1.0,1000,,
392,23,296.0,1.0,1000,,
393,23,297.0,1.0,1000,,
394,23,298.0,1.0,1000,,
395,23,299.0,1.0,1000,,
396,23,44.0,1.0,1000,,
397,23,300.0,1.0,1000,,
398,23,301.0,1.0,1000,,
399,23,50.0,1.0,1000,,
400,23,99.0,1.0,1000,,
401,23,107.0,1.0,1000,,
402,23,111.0,1.0,1000,,
403,23,112.0,1.0,1000,,
404,24,16.0,1.0,1000,,
405,24,285.0,1.0,1000,,
406,24,288.0,1.0,1000,,
407,24,289.0,1.0,1000,,
408,24,290.0,1.0,1000,,
409,24,295.0,1.0,1000,,
410,24,298.0,1.0,1000,,
411,24,44.0,1.0,1000,,
412,24,301.0,1.0,1000,,
413,24,302.0,1.0,1000,,
414,24,303.0,1.0,1000,,
415,24,304.0,1.0,1000,,
416,24,305.0,1.0,1000,,
417,24,306.0,1.0,1000,,
418,24,307.0,1.0,1000,,
419,24,46.0,1.0,1000,,
420,24,308.0,1.0,1000,,
421,24,309.0,1.0,1000,,
422,24,310.0,1.0,1000,,
423,24,311.0,1.0,1000,,
424,24,189.0,1.0,1000,,
425,24,94.0,1.0,1000,,
426,24,106.0,1.0,1000,,
427,24,107.0,1.0,1000,,
428,24,112.0,1.0,1000,,
429,25,5.0,1.0,1000,,
430,25,25.0,1.0,1000,,
431,25,155.0,1.0,1000,,
432,25,27.0,1.0,1000,,
433,25,172.0,1.0,1000,,
434,25,47.0,1.0,1000,,
435,25,48.0,1.0,1000,,
436,25,312.0,1.0,1000,,
437,25,313.0,1.0,1000,,
438,25,314.0,1.0,1000,,
439,25,315.0,1.0,1000,,
440,25,316.0,1.0,1000,,
441,25,317.0,1.0,1000,,
442,25,318.0,1.0,1000,,
443,25,319.0,1.0,1000,,
444,25,320.0,1.0,1000,,
445,25,321.0,1.0,1000,,
446,25,322.0,1.0,1000,,
447,25,323.0,1.0,1000,,
448,25,324.0,1.0,1000,,
449,25,204.0,1.0,1000,,
450,25,207.0,1.0,1000,,
451,25,97.0,1.0,1000,,
452,27,329.0,1.0,1000,,
453,27,330.0,1.0,1000,,
454,27,331.0,1.0,1000,,
455,27,332.0,1.0,1000,,
456,27,43.0,1.0,1000,,
457,27,333.0,1.0,1000,,
458,27,16.0,1.0,1000,,
459,27,181.0,1.0,1000,,
460,27,27.0,1.0,1000,,
461,27,124.0,1.0,1000,,
462,28,129.0,1.0,1000,,
463,28,67.0,1.0,1000,,
464,28,228.0,1.0,1000,,
465,28,58.0,1.0,1000,,
466,28,134.0,1.0,1000,,
467,28,43.0,1.0,1000,,
468,28,334.0,1.0,1000,,
469,28,335.0,1.0,1000,,
470,28,336.0,1.0,1000,,
471,28,283.0,1.0,1000,,
472,28,282.0,1.0,1000,,
473,28,27.0,1.0,1000,,
474,28,60.0,1.0,1000,,
475,28,61.0,1.0,1000,,
476,28,62.0,1.0,1000,,
477,30,64.0,1.0,1000,,
478,30,67.0,1.0,1000,,
479,30,70.0,1.0,1000,,
480,30,72.0,1.0,1000,,
481,30,41.0,1.0,1000,,
482,30,73.0,1.0,1000,,
483,30,43.0,1.0,1000,,
484,30,341.0,1.0,1000,,
485,30,59.0,1.0,1000,,
486,30,62.0,1.0,1000,,
487,31,32.0,1.0,1000,,
488,31,35.0,1.0,1000,,
489,31,132.0,1.0,1000,,
490,31,41.0,1.0,1000,,
491,31,31.0,1.0,1000,,
492,31,78.0,1.0,1000,,
493,31,116.0,1.0,1000,,
494,31,181.0,1.0,1000,,
495,31,342.0,1.0,1000,,
496,31,62.0,1.0,1000,,
497,31,57.0,1.0,1000,,
498,31,27.0,1.0,1000,,
499,31,124.0,1.0,1000,,
500,31,126.0,1.0,1000,,
501,31,127.0,1.0,1000,,
502,33,130.0,1.0,1000,,
503,33,67.0,1.0,1000,,
504,33,132.0,1.0,1000,,
505,33,41.0,1.0,1000,,
506,33,42.0,1.0,1000,,
507,33,43.0,1.0,1000,,
508,33,237.0,1.0,1000,,
509,33,31.0,1.0,1000,,
510,33,116.0,1.0,1000,,
511,33,181.0,1.0,1000,,
512,33,344.0,1.0,1000,,
513,33,345.0,1.0,1000,,
514,33,346.0,1.0,1000,,
515,33,27.0,1.0,1000,,
516,33,124.0,1.0,1000,,
517,33,126.0,1.0,1000,,
518,33,127.0,1.0,1000,,
519,34,2.0,1.0,1000,,
520,34,5.0,1.0,1000,,
521,34,263.0,1.0,1000,,
522,34,141.0,1.0,1000,,
523,34,25.0,1.0,1000,,
524,34,27.0,1.0,1000,,
525,34,177.0,1.0,1000,,
526,34,196.0,1.0,1000,,
527,34,198.0,1.0,1000,,
528,34,347.0,1.0,1000,,
529,34,348.0,1.0,1000,,
530,34,92.0,1.0,1000,,
531,34,349.0,1.0,1000,,
532,34,350.0,1.0,1000,,
533,34,352.0,1.0,1000,,
534,34,353.0,1.0,1000,,
535,34,354.0,1.0,1000,,
536,34,355.0,1.0,1000,,
537,34,351.0,1.0,1000,,
538,34,356.0,1.0,1000,,
539,34,357.0,1.0,1000,,
540,34,358.0,1.0,1000,,
541,34,359.0,1.0,1000,,
542,34,360.0,1.0,1000,,
543,34,361.0,1.0,1000,,
544,34,362.0,1.0,1000,,
545,34,363.0,1.0,1000,,
546,34,364.0,1.0,1000,,
547,34,365.0,1.0,1000,,
548,34,366.0,1.0,1000,,
549,34,367.0,1.0,1000,,
550,35,164.0,1.0,1000,,
551,35,142.0,1.0,1000,,
552,35,368.0,1.0,1000,,
553,35,369.0,1.0,1000,,
554,35,370.0,1.0,1000,,
555,35,23.0,1.0,1000,,
556,35,25.0,1.0,1000,,
557,35,27.0,1.0,1000,,
558,36,45.0,1.0,1000,,
559,36,46.0,1.0,1000,,
560,36,14.0,1.0,1000,,
561,36,368.0,1.0,1000,,
562,36,369.0,1.0,1000,,
563,36,371.0,1.0,1000,,
564,36,372.0,1.0,1000,,
565,36,373.0,1.0,1000,,
566,36,374.0,1.0,1000,,
567,36,25.0,1.0,1000,,
568,37,90.0,1.0,1000,,
569,37,199.0,1.0,1000,,
570,37,8.0,1.0,1000,,
571,37,269.0,1.0,1000,,
572,37,375.0,1.0,1000,,
573,37,376.0,1.0,1000,,
574,37,377.0,1.0,1000,,
575,37,378.0,1.0,1000,,
576,37,27.0,1.0,1000,,
577,38,33.0,1.0,1000,,
578,38,67.0,1.0,1000,,
579,38,132.0,1.0,1000,,
580,38,255.0,1.0,1000,,
581,38,42.0,1.0,1000,,
582,38,43.0,1.0,1000,,
583,38,237.0,1.0,1000,,
584,38,379.0,1.0,1000,,
585,38,30.0,1.0,1000,,
586,38,254.0,1.0,1000,,
