,0,1,1.1,1000,0.1
220,16,214,1.0,1000,
221,16,215,1.0,1000,
222,16,216,1.0,1000,
223,16,64,1.0,1000,
224,16,217,1.0,1000,
225,16,218,1.0,1000,
226,16,71,1.0,1000,
227,16,7,1.0,1000,
228,16,219,1.0,1000,
229,16,107,1.0,1000,
230,16,220,1.0,1000,
231,16,221,1.0,1000,
232,16,222,1.0,1000,
233,16,223,1.0,1000,
234,16,137,1.0,1000,
235,16,147,1.0,1000,
236,16,224,1.0,1000,
237,16,225,1.0,1000,
238,16,227,1.0,1000,
239,16,6,1.0,1000,
240,16,229,1.0,1000,
241,16,230,1.0,1000,
242,16,231,1.0,1000,
243,16,232,1.0,1000,
244,16,233,1.0,1000,
245,16,234,1.0,1000,
246,16,235,1.0,1000,
247,16,63,1.0,1000,
248,16,236,1.0,1000,
249,16,237,1.0,1000,
250,16,89,1.0,1000,
251,16,238,1.0,1000,
252,16,239,1.0,1000,
253,16,240,1.0,1000,
254,16,241,1.0,1000,
255,16,242,1.0,1000,
256,16,243,1.0,1000,
257,16,121,1.0,1000,
258,16,244,1.0,1000,
259,16,245,1.0,1000,
260,16,246,1.0,1000,
261,16,247,1.0,1000,
262,16,124,1.0,1000,
263,16,248,1.0,1000,
264,16,106,1.0,1000,
265,16,82,1.0,1000,
266,16,250,1.0,1000,
267,16,251,1.0,1000,
268,16,252,1.0,1000,
269,16,253,1.0,1000,
270,16,254,1.0,1000,
271,16,255,1.0,1000,
272,16,256,1.0,1000,
273,17,257,1.0,1000,
274,17,258,1.0,1000,
275,17,259,1.0,1000,
276,17,260,1.0,1000,
277,17,3,1.0,1000,
278,17,262,1.0,1000,
279,17,263,1.0,1000,
280,18,33,1.0,1000,
281,18,266,1.0,1000,
282,18,267,1.0,1000,
283,18,31,1.0,1000,
284,18,268,1.0,1000,
285,19,269,1.0,1000,
286,19,270,1.0,1000,
287,19,199,1.0,1000,
288,19,271,1.0,1000,
289,19,221,1.0,1000,
290,19,272,1.0,1000,
291,19,273,1.0,1000,
292,19,274,1.0,1000,
293,19,275,1.0,1000,
294,19,276,1.0,1000,
295,19,49,1.0,1000,
296,19,250,1.0,1000,
297,19,179,1.0,1000,
298,19,277,1.0,1000,
299,19,92,1.0,1000,
300,19,278,1.0,1000,
301,19,279,1.0,1000,
302,19,281,1.0,1000,
303,19,282,1.0,1000,
304,19,283,1.0,1000,
305,19,63,1.0,1000,
306,19,284,1.0,1000,
307,19,259,1.0,1000,
308,19,285,1.0,1000,
309,19,286,1.0,1000,
310,19,287,1.0,1000,
311,19,68,1.0,1000,
312,19,288,1.0,1000,
313,19,289,1.0,1000,
314,19,72,1.0,1000,
315,19,290,1.0,1000,
316,19,291,1.0,1000,
317,19,292,1.0,1000,
318,19,294,1.0,1000,
319,19,295,1.0,1000,
320,19,296,1.0,1000,
321,19,6,1.0,1000,
322,19,297,1.0,1000,
323,19,298,1.0,1000,
324,19,230,1.0,1000,
325,20,300,1.0,1000,
326,20,301,1.0,1000,
327,20,302,1.0,1000,
328,20,303,1.0,1000,
329,20,305,1.0,1000,
330,20,306,1.0,1000,
331,20,307,1.0,1000,
332,20,308,1.0,1000,
333,20,92,1.0,1000,
334,20,309,1.0,1000,
335,20,310,1.0,1000,
336,20,6,1.0,1000,
337,20,311,1.0,1000,
338,21,313,1.0,1000,
339,21,314,1.0,1000,
340,21,315,1.0,1000,
341,21,316,1.0,1000,
342,21,317,1.0,1000,
343,21,318,1.0,1000,
344,21,137,1.0,1000,
345,21,319,1.0,1000,
346,21,322,1.0,1000,
347,21,323,1.0,1000,
348,21,324,1.0,1000,
349,21,325,1.0,1000,
350,21,326,1.0,1000,
351,21,253,1.0,1000,
352,21,1,1.0,1000,
353,21,328,1.0,1000,
354,21,6,1.0,1000,
355,21,329,1.0,1000,
356,22,84,1.0,1000,
357,22,222,1.0,1000,
358,22,331,1.0,1000,
359,22,332,1.0,1000,
360,22,158,1.0,1000,
361,22,333,1.0,1000,
362,22,334,1.0,1000,
363,22,335,1.0,1000,
364,22,336,1.0,1000,
365,22,92,1.0,1000,
366,22,337,1.0,1000,
