,0,0.1,1,1000,24,1.1
410,22.0,284.0,1,1000,,
411,22.0,29.0,1,1000,,
412,22.0,31.0,1,1000,,
413,22.0,41.0,1,1000,,
414,22.0,42.0,1,1000,,
415,22.0,43.0,1,1000,,
416,22.0,180.0,1,1000,,
417,22.0,181.0,1,1000,,
418,22.0,62.0,1,1000,,
419,22.0,64.0,1,1000,,
420,22.0,67.0,1,1000,,
421,22.0,70.0,1,1000,,
422,22.0,229.0,1,1000,,
423,22.0,233.0,1,1000,,
424,22.0,237.0,1,1000,,
425,22.0,124.0,1,1000,,
426,22.0,253.0,1,1000,,
427,23.0,3.0,1,1000,,
428,23.0,285.0,1,1000,,
429,23.0,286.0,1,1000,,
430,23.0,287.0,1,1000,,
431,23.0,288.0,1,1000,,
432,23.0,289.0,1,1000,,
433,23.0,290.0,1,1000,,
434,23.0,291.0,1,1000,,
435,23.0,292.0,1,1000,,
436,23.0,293.0,1,1000,,
437,23.0,294.0,1,1000,,
438,23.0,295.0,1,1000,,
439,23.0,296.0,1,1000,,
440,23.0,297.0,1,1000,,
441,23.0,298.0,1,1000,,
442,23.0,299.0,1,1000,,
443,23.0,44.0,1,1000,,
444,23.0,300.0,1,1000,,
445,23.0,301.0,1,1000,,
446,23.0,50.0,1,1000,,
447,23.0,99.0,1,1000,,
448,23.0,107.0,1,1000,,
449,23.0,111.0,1,1000,,
450,23.0,112.0,1,1000,,
451,24.0,16.0,1,1000,,
452,24.0,285.0,1,1000,,
453,24.0,288.0,1,1000,,
454,24.0,289.0,1,1000,,
455,24.0,290.0,1,1000,,
456,24.0,295.0,1,1000,,
457,24.0,298.0,1,1000,,
458,24.0,44.0,1,1000,,
459,24.0,301.0,1,1000,,
460,24.0,302.0,1,1000,,
461,24.0,303.0,1,1000,,
462,24.0,304.0,1,1000,,
463,24.0,305.0,1,1000,,
464,24.0,306.0,1,1000,,
465,24.0,307.0,1,1000,,
466,24.0,46.0,1,1000,,
467,24.0,308.0,1,1000,,
468,24.0,309.0,1,1000,,
469,24.0,310.0,1,1000,,
470,24.0,311.0,1,1000,,
471,24.0,189.0,1,1000,,
472,24.0,94.0,1,1000,,
473,24.0,106.0,1,1000,,
474,24.0,107.0,1,1000,,
475,24.0,112.0,1,1000,,
476,26.0,67.0,1,1000,,
