160,8,163,1.0,1000,
161,8,41,1.0,1000,
162,8,12,1.0,1000,
163,8,154,1.0,1000,
164,8,155,1.0,1000,
165,8,156,1.0,1000,
166,8,157,1.0,1000,
167,8,158,1.0,1000,
168,8,159,1.0,1000,
169,9,164,1.0,1000,
170,9,165,1.0,1000,
171,9,166,1.0,1000,
172,9,167,1.0,1000,
173,9,168,1.0,1000,
174,9,169,1.0,1000,
175,9,170,1.0,1000,
176,9,171,1.0,1000,
177,9,172,1.0,1000,
178,9,173,1.0,1000,
179,9,174,1.0,1000,
180,9,175,1.0,1000,
181,9,176,1.0,1000,
182,9,177,1.0,1000,
183,9,178,1.0,1000,
184,9,179,1.0,1000,
185,9,180,1.0,1000,
186,10,0,1.0,1000,
187,10,97,1.0,1000,
188,10,26,1.0,1000,
189,10,12,1.0,1000,
190,10,50,1.0,1000,
191,10,149,1.0,1000,
192,10,182,1.0,1000,
193,10,181,1.0,1000,
194,10,184,1.0,1000,
195,10,185,1.0,1000,
196,10,186,1.0,1000,
197,10,187,1.0,1000,
198,10,188,1.0,1000,
199,10,183,1.0,1000,
200,11,192,1.0,1000,
201,11,193,1.0,1000,
202,11,194,1.0,1000,
203,11,195,1.0,1000,
204,11,196,1.0,1000,
205,11,197,1.0,1000,
206,11,72,1.0,1000,
207,11,12,1.0,1000,
208,11,189,1.0,1000,
209,11,190,1.0,1000,
210,11,191,1.0,1000,
211,12,198,1.0,1000,
212,12,199,1.0,1000,
213,12,200,1.0,1000,
214,12,201,1.0,1000,
215,12,202,1.0,1000,
216,12,203,1.0,1000,
217,12,12,1.0,1000,
218,12,204,1.0,1000,
219,12,86,1.0,1000,
220,12,27,1.0,1000,
221,13,129,1.0,1000,
222,13,12,1.0,1000,
223,13,17,1.0,1000,
224,13,40,1.0,1000,
225,13,43,1.0,1000,
226,13,205,1.0,1000,
227,13,206,1.0,1000,
228,13,207,1.0,1000,
229,13,208,1.0,1000,
230,13,209,1.0,1000,
231,13,210,1.0,1000,
232,13,211,1.0,1000,
233,13,212,1.0,1000,
234,13,213,1.0,1000,
235,13,214,1.0,1000,
236,13,215,1.0,1000,
237,13,216,1.0,1000,
238,13,217,1.0,1000,
239,13,90,1.0,1000,
240,13,218,1.0,1000,
241,13,219,1.0,1000,
242,13,220,1.0,1000,
243,13,221,1.0,1000,
244,13,222,1.0,1000,
245,13,223,1.0,1000,
246,13,224,1.0,1000,
247,13,225,1.0,1000,
248,13,226,1.0,1000,
249,13,227,1.0,1000,
250,13,122,1.0,1000,
251,14,64,1.0,1000,
252,14,228,1.0,1000,
253,14,229,1.0,1000,
254,14,230,1.0,1000,
255,14,231,1.0,1000,
256,14,232,1.0,1000,
257,14,233,1.0,1000,
258,14,234,1.0,1000,
259,14,235,1.0,1000,
260,14,236,1.0,1000,
261,14,12,1.0,1000,
262,14,237,1.0,1000,
263,14,238,1.0,1000,
264,14,149,1.0,1000,
265,14,185,1.0,1000,
266,14,186,1.0,1000,
267,15,192,1.0,1000,
268,15,72,1.0,1000,
269,15,105,1.0,1000,
270,15,12,1.0,1000,
271,15,239,1.0,1000,
272,15,240,1.0,1000,
273,15,241,1.0,1000,
274,15,242,1.0,1000,
275,15,243,1.0,1000,
276,15,244,1.0,1000,
277,15,245,1.0,1000,
278,15,246,1.0,1000,
279,15,247,1.0,1000,
280,15,248,1.0,1000,
281,15,249,1.0,1000,
282,15,250,1.0,1000,
283,16,256,1.0,1000,
284,16,257,1.0,1000,
285,16,258,1.0,1000,
286,16,2,1.0,1000,
287,16,259,1.0,1000,
288,16,260,1.0,1000,
289,16,261,1.0,1000,
290,16,262,1.0,1000,
291,16,263,1.0,1000,
292,16,264,1.0,1000,
293,16,265,1.0,1000,
294,16,266,1.0,1000,
295,16,267,1.0,1000,
296,16,268,1.0,1000,
297,16,269,1.0,1000,
298,16,270,1.0,1000,
299,16,271,1.0,1000,
300,16,272,1.0,1000,
301,16,273,1.0,1000,
302,16,138,1.0,1000,
303,16,274,1.0,1000,
304,16,275,1.0,1000,
305,16,276,1.0,1000,
306,16,277,1.0,1000,
307,16,278,1.0,1000,
308,16,279,1.0,1000,
309,16,280,1.0,1000,
310,16,281,1.0,1000,
311,16,282,1.0,1000,
312,16,283,1.0,1000,
313,16,284,1.0,1000,
314,16,285,1.0,1000,
315,16,286,1.0,1000,
316,16,287,1.0,1000,
317,16,288,1.0,1000,
318,16,289,1.0,1000,
319,16,290,1.0,1000,
320,16,291,1.0,1000,
321,16,292,1.0,1000,
322,16,293,1.0,1000,
323,16,294,1.0,1000,
324,16,295,1.0,1000,
325,16,296,1.0,1000,
326,16,297,1.0,1000,
327,16,298,1.0,1000,
328,16,299,1.0,1000,
329,16,300,1.0,1000,
330,16,301,1.0,1000,
